1687851049452|155|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai&zeroDateTimeBehavior=convertToNull&allowPublicKeyRetrieval=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688874635273|244|statement|connection 56|url jdbc:mysql://121.5.25.174:3307/dy_dispatch?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, error, times, create_date )  VALUES  ( ?, ?, ?, ?, ?, ?, ?, ? )|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, error, times, create_date )  VALUES  ( '1227295318016', '10', 'dispatchTask', 'transfer', 0, 'java.lang.reflect.InvocationTargetException 	at sun.reflect.GeneratedMethodAccessor218.invoke(Unknown Source) 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) 	at java.lang.reflect.Method.invoke(Method.java:498) 	at com.neu.dy.dispatch.execute.ScheduleJob.executeInternal(ScheduleJob.java:48) 	at org.springframework.scheduling.quartz.QuartzJobBean.execute(QuartzJobBean.java:75) 	at org.quartz.core.JobRunShell.run(JobRunShell.java:202) 	at org.quartz.simpl.SimpleThreadPool$WorkerThread.run(SimpleThreadPool.java:573) Caused by: feign.FeignException$MethodNotAllowed: status 405 reading OrderFeign#list(OrderSearchDTO) 	at feign.FeignException.clientErrorStatus(FeignException.java:167) 	at feign.FeignException.errorStatus(FeignException.java:141) 	at feign.FeignException.errorStatus(FeignException.java:133) 	at feign.codec.ErrorDecoder$Default.decode(ErrorDecoder.java:92) 	at feign.SynchronousMethodHandler.executeAndDecode(SynchronousMethodHandler.java:151) 	at feign.SynchronousMethodHandler.invoke(SynchronousMethodHandler.java:80) 	at feign.ReflectiveFeign$FeignInvocationHandler.invoke(ReflectiveFeign.java:103) 	at com.sun.proxy.$Proxy190.list(Unknown Source) 	at com.neu.dy.dispatch.service.impl.TaskOrderClassifyServiceImpl.buildNewOrder(TaskOrderClassifyServiceImpl.java:271) 	at com.neu.dy.dispatch.service.impl.TaskOrderClassifyServiceImpl.execute(TaskOrderClassifyServiceImpl.java:82) 	at com.neu.dy.dispatch.task.DispatchTask.run(DispatchTask.java:38) 	... 7 more ', 22, '2023-07-09T11:50:35.005+0800' )
1688874640189|159|statement|connection 57|url jdbc:mysql://121.5.25.174:3307/dy_dispatch?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, error, times, create_date )  VALUES  ( ?, ?, ?, ?, ?, ?, ?, ? )|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, error, times, create_date )  VALUES  ( '1248254255104', '10', 'dispatchTask', 'transfer', 0, 'java.lang.reflect.InvocationTargetException 	at sun.reflect.GeneratedMethodAccessor218.invoke(Unknown Source) 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) 	at java.lang.reflect.Method.invoke(Method.java:498) 	at com.neu.dy.dispatch.execute.ScheduleJob.executeInternal(ScheduleJob.java:48) 	at org.springframework.scheduling.quartz.QuartzJobBean.execute(QuartzJobBean.java:75) 	at org.quartz.core.JobRunShell.run(JobRunShell.java:202) 	at org.quartz.simpl.SimpleThreadPool$WorkerThread.run(SimpleThreadPool.java:573) Caused by: feign.FeignException$MethodNotAllowed: status 405 reading OrderFeign#list(OrderSearchDTO) 	at feign.FeignException.clientErrorStatus(FeignException.java:167) 	at feign.FeignException.errorStatus(FeignException.java:141) 	at feign.FeignException.errorStatus(FeignException.java:133) 	at feign.codec.ErrorDecoder$Default.decode(ErrorDecoder.java:92) 	at feign.SynchronousMethodHandler.executeAndDecode(SynchronousMethodHandler.java:151) 	at feign.SynchronousMethodHandler.invoke(SynchronousMethodHandler.java:80) 	at feign.ReflectiveFeign$FeignInvocationHandler.invoke(ReflectiveFeign.java:103) 	at com.sun.proxy.$Proxy190.list(Unknown Source) 	at com.neu.dy.dispatch.service.impl.TaskOrderClassifyServiceImpl.buildNewOrder(TaskOrderClassifyServiceImpl.java:271) 	at com.neu.dy.dispatch.service.impl.TaskOrderClassifyServiceImpl.execute(TaskOrderClassifyServiceImpl.java:82) 	at com.neu.dy.dispatch.task.DispatchTask.run(DispatchTask.java:38) 	... 7 more ', 25, '2023-07-09T11:50:40.002+0800' )
1688874645207|163|statement|connection 58|url jdbc:mysql://121.5.25.174:3307/dy_dispatch?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, error, times, create_date )  VALUES  ( ?, ?, ?, ?, ?, ?, ?, ? )|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, error, times, create_date )  VALUES  ( '1269280301056', '10', 'dispatchTask', 'transfer', 0, 'java.lang.reflect.InvocationTargetException 	at sun.reflect.GeneratedMethodAccessor218.invoke(Unknown Source) 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) 	at java.lang.reflect.Method.invoke(Method.java:498) 	at com.neu.dy.dispatch.execute.ScheduleJob.executeInternal(ScheduleJob.java:48) 	at org.springframework.scheduling.quartz.QuartzJobBean.execute(QuartzJobBean.java:75) 	at org.quartz.core.JobRunShell.run(JobRunShell.java:202) 	at org.quartz.simpl.SimpleThreadPool$WorkerThread.run(SimpleThreadPool.java:573) Caused by: feign.FeignException$MethodNotAllowed: status 405 reading OrderFeign#list(OrderSearchDTO) 	at feign.FeignException.clientErrorStatus(FeignException.java:167) 	at feign.FeignException.errorStatus(FeignException.java:141) 	at feign.FeignException.errorStatus(FeignException.java:133) 	at feign.codec.ErrorDecoder$Default.decode(ErrorDecoder.java:92) 	at feign.SynchronousMethodHandler.executeAndDecode(SynchronousMethodHandler.java:151) 	at feign.SynchronousMethodHandler.invoke(SynchronousMethodHandler.java:80) 	at feign.ReflectiveFeign$FeignInvocationHandler.invoke(ReflectiveFeign.java:103) 	at com.sun.proxy.$Proxy190.list(Unknown Source) 	at com.neu.dy.dispatch.service.impl.TaskOrderClassifyServiceImpl.buildNewOrder(TaskOrderClassifyServiceImpl.java:271) 	at com.neu.dy.dispatch.service.impl.TaskOrderClassifyServiceImpl.execute(TaskOrderClassifyServiceImpl.java:82) 	at com.neu.dy.dispatch.task.DispatchTask.run(DispatchTask.java:38) 	... 7 more ', 26, '2023-07-09T11:50:45.015+0800' )
1688874650224|197|statement|connection 59|url jdbc:mysql://121.5.25.174:3307/dy_dispatch?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, error, times, create_date )  VALUES  ( ?, ?, ?, ?, ?, ?, ?, ? )|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, error, times, create_date )  VALUES  ( '1290201489408', '10', 'dispatchTask', 'transfer', 0, 'java.lang.reflect.InvocationTargetException 	at sun.reflect.GeneratedMethodAccessor218.invoke(Unknown Source) 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) 	at java.lang.reflect.Method.invoke(Method.java:498) 	at com.neu.dy.dispatch.execute.ScheduleJob.executeInternal(ScheduleJob.java:48) 	at org.springframework.scheduling.quartz.QuartzJobBean.execute(QuartzJobBean.java:75) 	at org.quartz.core.JobRunShell.run(JobRunShell.java:202) 	at org.quartz.simpl.SimpleThreadPool$WorkerThread.run(SimpleThreadPool.java:573) Caused by: feign.FeignException$MethodNotAllowed: status 405 reading OrderFeign#list(OrderSearchDTO) 	at feign.FeignException.clientErrorStatus(FeignException.java:167) 	at feign.FeignException.errorStatus(FeignException.java:141) 	at feign.FeignException.errorStatus(FeignException.java:133) 	at feign.codec.ErrorDecoder$Default.decode(ErrorDecoder.java:92) 	at feign.SynchronousMethodHandler.executeAndDecode(SynchronousMethodHandler.java:151) 	at feign.SynchronousMethodHandler.invoke(SynchronousMethodHandler.java:80) 	at feign.ReflectiveFeign$FeignInvocationHandler.invoke(ReflectiveFeign.java:103) 	at com.sun.proxy.$Proxy190.list(Unknown Source) 	at com.neu.dy.dispatch.service.impl.TaskOrderClassifyServiceImpl.buildNewOrder(TaskOrderClassifyServiceImpl.java:271) 	at com.neu.dy.dispatch.service.impl.TaskOrderClassifyServiceImpl.execute(TaskOrderClassifyServiceImpl.java:82) 	at com.neu.dy.dispatch.task.DispatchTask.run(DispatchTask.java:38) 	... 7 more ', 22, '2023-07-09T11:50:50.003+0800' )
1688874655244|209|statement|connection 60|url jdbc:mysql://121.5.25.174:3307/dy_dispatch?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, error, times, create_date )  VALUES  ( ?, ?, ?, ?, ?, ?, ?, ? )|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, error, times, create_date )  VALUES  ( '1311185592320', '10', 'dispatchTask', 'transfer', 0, 'java.lang.reflect.InvocationTargetException 	at sun.reflect.GeneratedMethodAccessor218.invoke(Unknown Source) 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) 	at java.lang.reflect.Method.invoke(Method.java:498) 	at com.neu.dy.dispatch.execute.ScheduleJob.executeInternal(ScheduleJob.java:48) 	at org.springframework.scheduling.quartz.QuartzJobBean.execute(QuartzJobBean.java:75) 	at org.quartz.core.JobRunShell.run(JobRunShell.java:202) 	at org.quartz.simpl.SimpleThreadPool$WorkerThread.run(SimpleThreadPool.java:573) Caused by: feign.FeignException$MethodNotAllowed: status 405 reading OrderFeign#list(OrderSearchDTO) 	at feign.FeignException.clientErrorStatus(FeignException.java:167) 	at feign.FeignException.errorStatus(FeignException.java:141) 	at feign.FeignException.errorStatus(FeignException.java:133) 	at feign.codec.ErrorDecoder$Default.decode(ErrorDecoder.java:92) 	at feign.SynchronousMethodHandler.executeAndDecode(SynchronousMethodHandler.java:151) 	at feign.SynchronousMethodHandler.invoke(SynchronousMethodHandler.java:80) 	at feign.ReflectiveFeign$FeignInvocationHandler.invoke(ReflectiveFeign.java:103) 	at com.sun.proxy.$Proxy190.list(Unknown Source) 	at com.neu.dy.dispatch.service.impl.TaskOrderClassifyServiceImpl.buildNewOrder(TaskOrderClassifyServiceImpl.java:271) 	at com.neu.dy.dispatch.service.impl.TaskOrderClassifyServiceImpl.execute(TaskOrderClassifyServiceImpl.java:82) 	at com.neu.dy.dispatch.task.DispatchTask.run(DispatchTask.java:38) 	... 7 more ', 26, '2023-07-09T11:50:55.006+0800' )
1688874660260|207|statement|connection 61|url jdbc:mysql://121.5.25.174:3307/dy_dispatch?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, error, times, create_date )  VALUES  ( ?, ?, ?, ?, ?, ?, ?, ? )|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, error, times, create_date )  VALUES  ( '1332199055360', '10', 'dispatchTask', 'transfer', 0, 'java.lang.reflect.InvocationTargetException 	at sun.reflect.GeneratedMethodAccessor218.invoke(Unknown Source) 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) 	at java.lang.reflect.Method.invoke(Method.java:498) 	at com.neu.dy.dispatch.execute.ScheduleJob.executeInternal(ScheduleJob.java:48) 	at org.springframework.scheduling.quartz.QuartzJobBean.execute(QuartzJobBean.java:75) 	at org.quartz.core.JobRunShell.run(JobRunShell.java:202) 	at org.quartz.simpl.SimpleThreadPool$WorkerThread.run(SimpleThreadPool.java:573) Caused by: feign.FeignException$MethodNotAllowed: status 405 reading OrderFeign#list(OrderSearchDTO) 	at feign.FeignException.clientErrorStatus(FeignException.java:167) 	at feign.FeignException.errorStatus(FeignException.java:141) 	at feign.FeignException.errorStatus(FeignException.java:133) 	at feign.codec.ErrorDecoder$Default.decode(ErrorDecoder.java:92) 	at feign.SynchronousMethodHandler.executeAndDecode(SynchronousMethodHandler.java:151) 	at feign.SynchronousMethodHandler.invoke(SynchronousMethodHandler.java:80) 	at feign.ReflectiveFeign$FeignInvocationHandler.invoke(ReflectiveFeign.java:103) 	at com.sun.proxy.$Proxy190.list(Unknown Source) 	at com.neu.dy.dispatch.service.impl.TaskOrderClassifyServiceImpl.buildNewOrder(TaskOrderClassifyServiceImpl.java:271) 	at com.neu.dy.dispatch.service.impl.TaskOrderClassifyServiceImpl.execute(TaskOrderClassifyServiceImpl.java:82) 	at com.neu.dy.dispatch.task.DispatchTask.run(DispatchTask.java:38) 	... 7 more ', 35, '2023-07-09T11:51:00.016+0800' )
1688874731456|116|statement|connection 0|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,rule_key,content,version,last_modify_time,create_time  FROM rule     WHERE (rule_key = ?)|SELECT  id,rule_key,content,version,last_modify_time,create_time  FROM rule     WHERE (rule_key = 'tms')
1688874736346|96|statement|connection 2|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688874857218|129|statement|connection 0|url jdbc:mysql://121.5.25.174:3307/dy_dispatch?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,creator,create_date,bean_name,params,cron_expression,status,remark,business_id,updater,update_date  FROM schedule_job|SELECT  id,creator,create_date,bean_name,params,cron_expression,status,remark,business_id,updater,update_date  FROM schedule_job
1688874859329|90|statement|connection 2|url jdbc:mysql://121.5.25.174:3307/dy_dispatch?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688874863593|71|statement|connection 3|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = ? AND current_agency_id = ?)|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = 23003 AND current_agency_id = '123')
1688874863837|79|statement|connection 4|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = ? AND current_agency_id = ?)|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = 23005 AND current_agency_id = '123')
1688874864120|207|statement|connection 3|url jdbc:mysql://121.5.25.174:3307/dy_dispatch?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, times, create_date )  VALUES  ( ?, ?, ?, ?, ?, ?, ? )|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, times, create_date )  VALUES  ( '123509678080', '10', 'dispatchTask', 'transfer', 1, 2205, '2023-07-09T11:54:21.657+0800' )
1688874865168|89|statement|connection 5|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = ? AND current_agency_id = ?)|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = 23003 AND current_agency_id = '123')
1688874865273|77|statement|connection 6|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = ? AND current_agency_id = ?)|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = 23005 AND current_agency_id = '123')
1688874865476|184|statement|connection 4|url jdbc:mysql://121.5.25.174:3307/dy_dispatch?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, times, create_date )  VALUES  ( ?, ?, ?, ?, ?, ?, ? )|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, times, create_date )  VALUES  ( '137694814208', '10', 'dispatchTask', 'transfer', 1, 246, '2023-07-09T11:54:25.040+0800' )
1688874870185|149|statement|connection 7|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = ? AND current_agency_id = ?)|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = 23003 AND current_agency_id = '123')
1688874870291|85|statement|connection 8|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = ? AND current_agency_id = ?)|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = 23005 AND current_agency_id = '123')
1688874870492|184|statement|connection 5|url jdbc:mysql://121.5.25.174:3307/dy_dispatch?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, times, create_date )  VALUES  ( ?, ?, ?, ?, ?, ?, ? )|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, times, create_date )  VALUES  ( '158544699392', '10', 'dispatchTask', 'transfer', 1, 293, '2023-07-09T11:54:30.010+0800' )
1688874875102|68|statement|connection 9|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = ? AND current_agency_id = ?)|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = 23003 AND current_agency_id = '123')
1688874875203|62|statement|connection 10|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = ? AND current_agency_id = ?)|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = 23005 AND current_agency_id = '123')
1688874875410|187|statement|connection 6|url jdbc:mysql://121.5.25.174:3307/dy_dispatch?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, times, create_date )  VALUES  ( ?, ?, ?, ?, ?, ?, ? )|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, times, create_date )  VALUES  ( '179499442176', '10', 'dispatchTask', 'transfer', 1, 209, '2023-07-09T11:54:35.006+0800' )
1688874880127|79|statement|connection 11|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = ? AND current_agency_id = ?)|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = 23003 AND current_agency_id = '123')
1688874880222|64|statement|connection 12|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = ? AND current_agency_id = ?)|SELECT  id,order_type,pickup_type,create_time,member_id,receiver_province_id,receiver_city_id,receiver_county_id,receiver_address,receiver_address_id,receiver_name,receiver_phone,sender_province_id,sender_city_id,sender_county_id,sender_address,sender_address_id,sender_name,sender_phone,current_agency_id,payment_method,payment_status,amount,estimated_arrival_time,distance,status  FROM dy_order     WHERE (status = 23005 AND current_agency_id = '123')
1688874880424|178|statement|connection 7|url jdbc:mysql://121.5.25.174:3307/dy_dispatch?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, times, create_date )  VALUES  ( ?, ?, ?, ?, ?, ?, ? )|INSERT INTO schedule_job_log  ( id, job_id, bean_name, params, status, times, create_date )  VALUES  ( '200487739392', '10', 'dispatchTask', 'transfer', 1, 231, '2023-07-09T11:54:40.010+0800' )
